id,source,contract_id,ordered_at,planned_arrival_at,actual_arrival_at,planned_t,actual_share,gross_t,role
C-2038-03,C,C-2038,6935/6,2555/2,2555/2,9.553754644778437136043480668,1,9.553754644778437136043480668,planned
C-2038-04,C,C-2038,4745/4,15695/12,15695/12,9.553754644778437136043480668,1,9.553754644778437136043480668,planned
C-2038-05,C,C-2038,3650/3,4015/3,4015/3,9.553754644778437136043480668,1,9.553754644778437136043480668,planned
C-2038-06,C,C-2038,14965/12,5475/4,5475/4,9.553754644778437136043480668,1,9.553754644778437136043480668,planned
C-2038-07,C,C-2038,2555/2,8395/6,8395/6,9.553754644778437136043480668,1,9.553754644778437136043480668,planned
C-2038-08,C,C-2038,15695/12,17155/12,17155/12,9.55375464477843713604348065,1,9.55375464477843713604348065,planned
A-2039-01,A,A-2039,1095,1460,1460,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-02,A,A-2039,13505/12,17885/12,17885/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-03,A,A-2039,6935/6,9125/6,9125/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-04,A,A-2039,4745/4,6205/4,6205/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-05,A,A-2039,3650/3,4745/3,4745/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-06,A,A-2039,14965/12,19345/12,19345/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-07,A,A-2039,2555/2,3285/2,3285/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-08,A,A-2039,15695/12,20075/12,20075/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-09,A,A-2039,4015/3,5110/3,5110/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-10,A,A-2039,5475/4,6935/4,6935/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-11,A,A-2039,8395/6,10585/6,10585/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2039-12,A,A-2039,17155/12,21535/12,21535/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
C-2039-01,C,C-2039,4015/3,1460,1460,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-02,C,C-2039,5475/4,17885/12,17885/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-03,C,C-2039,8395/6,9125/6,9125/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-04,C,C-2039,17155/12,6205/4,6205/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-05,C,C-2039,1460,4745/3,4745/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-06,C,C-2039,17885/12,19345/12,19345/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-07,C,C-2039,9125/6,3285/2,3285/2,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-08,C,C-2039,6205/4,20075/12,20075/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-09,C,C-2039,4745/3,5110/3,5110/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-10,C,C-2039,19345/12,6935/4,6935/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-11,C,C-2039,3285/2,10585/6,10585/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2039-12,C,C-2039,20075/12,21535/12,21535/12,10.8333333333333333333333334,1,10.8333333333333333333333334,planned
B-2039-01,B,B-2039,4015/3,1460,1460,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-02,B,B-2039,5475/4,17885/12,17885/12,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-03,B,B-2039,8395/6,9125/6,9125/6,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-04,B,B-2039,17155/12,6205/4,6205/4,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-05,B,B-2039,1460,4745/3,4745/3,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-06,B,B-2039,17885/12,19345/12,19345/12,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-07,B,B-2039,9125/6,3285/2,3285/2,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-08,B,B-2039,6205/4,20075/12,20075/12,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-09,B,B-2039,4745/3,5110/3,5110/3,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-10,B,B-2039,19345/12,6935/4,6935/4,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-11,B,B-2039,3285/2,10585/6,10585/6,1.440019965614774554933170648,1,1.440019965614774554933170648,planned
B-2039-12,B,B-2039,20075/12,21535/12,21535/12,1.44001996561477455493317063,1,1.44001996561477455493317063,planned
A-2040-01,A,A-2040,1460,1825,1825,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-02,A,A-2040,17885/12,22265/12,22265/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-03,A,A-2040,9125/6,11315/6,11315/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-04,A,A-2040,6205/4,7665/4,7665/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-05,A,A-2040,4745/3,5840/3,5840/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-06,A,A-2040,19345/12,23725/12,23725/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-07,A,A-2040,3285/2,4015/2,4015/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-08,A,A-2040,20075/12,24455/12,24455/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-09,A,A-2040,5110/3,6205/3,6205/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-10,A,A-2040,6935/4,8395/4,8395/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-11,A,A-2040,10585/6,12775/6,12775/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2040-12,A,A-2040,21535/12,25915/12,25915/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
C-2040-01,C,C-2040,5110/3,1825,1825,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-02,C,C-2040,6935/4,22265/12,22265/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-03,C,C-2040,10585/6,11315/6,11315/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-04,C,C-2040,21535/12,7665/4,7665/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-05,C,C-2040,1825,5840/3,5840/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-06,C,C-2040,22265/12,23725/12,23725/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-07,C,C-2040,11315/6,4015/2,4015/2,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-08,C,C-2040,7665/4,24455/12,24455/12,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-09,C,C-2040,5840/3,6205/3,6205/3,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-10,C,C-2040,23725/12,8395/4,8395/4,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-11,C,C-2040,4015/2,12775/6,12775/6,10.83333333333333333333333333,1,10.83333333333333333333333333,planned
C-2040-12,C,C-2040,24455/12,25915/12,25915/12,10.8333333333333333333333334,1,10.8333333333333333333333334,planned
B-2040-01,B,B-2040,5110/3,1825,1825,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-02,B,B-2040,6935/4,22265/12,22265/12,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-03,B,B-2040,10585/6,11315/6,11315/6,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-04,B,B-2040,21535/12,7665/4,7665/4,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
