opening_t,gross_t,losses_t,after_inflow_t,served_t,served_critical_t,closing_t,shortage_t,shortage_critical_t,at,until,year,storage_id,demand_t,critical_demand_t,inventory_t_year,holding_mln
13.40000000000000000000000000,0,0.00,13.40000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.30000000000000000000000000,0E-28,0E-29,98,99,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03657534246575342465753424658,0.02633424657534246575342465754
13.30000000000000000000000000,0,0.00,13.30000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.20000000000000000000000000,0E-28,0E-29,99,100,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03630136986301369863013698630,0.02613698630136986301369863014
13.20000000000000000000000000,0,0.00,13.20000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.10000000000000000000000000,0E-28,0E-29,100,101,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03602739726027397260273972603,0.02593972602739726027397260274
13.10000000000000000000000000,0,0.00,13.10000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,13.00000000000000000000000000,0E-28,0E-29,101,102,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03575342465753424657534246576,0.02574246575342465753424657535
13.00000000000000000000000000,0,0.00,13.00000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.90000000000000000000000000,0E-28,0E-29,102,103,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03547945205479452054794520548,0.02554520547945205479452054795
12.90000000000000000000000000,0,0.00,12.90000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.80000000000000000000000000,0E-28,0E-29,103,104,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03520547945205479452054794521,0.02534794520547945205479452055
12.80000000000000000000000000,0,0.00,12.80000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.70000000000000000000000000,0E-28,0E-29,104,105,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03493150684931506849315068494,0.02515068493150684931506849316
12.70000000000000000000000000,0,0.00,12.70000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.60000000000000000000000000,0E-28,0E-29,105,106,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03465753424657534246575342466,0.02495342465753424657534246576
12.60000000000000000000000000,0,0.00,12.60000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.50000000000000000000000000,0E-28,0E-29,106,107,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03438356164383561643835616439,0.02475616438356164383561643836
12.50000000000000000000000000,0,0.00,12.50000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.40000000000000000000000000,0E-28,0E-29,107,108,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03410958904109589041095890411,0.02455890410958904109589041096
